note_id,factory_id,line_id,order_id,work_date,created_at,language,note_text,root_cause_label,urgency_label,blocking,mentioned_downtime_minutes,data_split,dataset_provenance
NOTE-000001,FAC-001,LINE-01,ORD-01-001,2025-01-04,2025-01-04T12:30:00+00:00,bn,অর্ডার অগ্রাধিকার পরিবর্তনের কারণে পরিকল্পনায় বিলম্ব হয়েছে।,planning,medium,False,0,train,synthetic
NOTE-000002,FAC-001,LINE-01,ORD-01-001,2025-01-05,2025-01-05T12:30:00+00:00,bn,"bartack মেশিন 55 মিনিট বন্ধ ছিল, মেকানিক কাজ করছে।",machine,medium,True,55,train,synthetic
NOTE-000003,FAC-001,LINE-01,ORD-01-001,2025-01-06,2025-01-06T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000004,FAC-001,LINE-01,ORD-01-001,2025-01-07,2025-01-07T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000005,FAC-001,LINE-01,ORD-01-001,2025-01-08,2025-01-08T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000006,FAC-001,LINE-01,ORD-01-002,2025-01-09,2025-01-09T12:30:00+00:00,bn,"স্টাইল চেঞ্জওভার দেরিতে শেষ হয়েছে, প্রথম ভাগের উৎপাদন কম।",method,medium,False,0,train,synthetic
NOTE-000007,FAC-001,LINE-01,ORD-01-002,2025-01-11,2025-01-11T12:30:00+00:00,mixed,"Inline QC-তে defect rate বেশি, correction চলছে।",quality,medium,False,0,train,synthetic
NOTE-000008,FAC-001,LINE-01,ORD-01-002,2025-01-12,2025-01-12T12:30:00+00:00,bn,দক্ষ অপারেটর কম থাকায় কয়েকটি অপারেশন আটকে আছে।,manpower,medium,False,0,train,synthetic
NOTE-000009,FAC-001,LINE-01,ORD-01-002,2025-01-13,2025-01-13T12:30:00+00:00,en,puckering defects increased and rework is reducing output.,quality,medium,False,0,train,synthetic
NOTE-000010,FAC-001,LINE-01,ORD-01-002,2025-01-14,2025-01-14T12:30:00+00:00,mixed,"Line স্বাভাবিক চলছে, major issue নেই।",none,low,False,0,train,synthetic
NOTE-000011,FAC-001,LINE-01,ORD-01-003,2025-01-15,2025-01-15T12:30:00+00:00,bn,"ট্রিমস সময়মতো আসেনি, লাইনের কাজ ধীর হয়েছে।",material,high,True,0,train,synthetic
NOTE-000012,FAC-001,LINE-01,ORD-01-003,2025-01-16,2025-01-16T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000013,FAC-001,LINE-01,ORD-01-003,2025-01-18,2025-01-18T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,train,synthetic
NOTE-000014,FAC-001,LINE-01,ORD-01-003,2025-01-19,2025-01-19T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000015,FAC-001,LINE-01,ORD-01-003,2025-01-20,2025-01-20T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000016,FAC-001,LINE-01,ORD-01-003,2025-01-21,2025-01-21T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,train,synthetic
