query_id,source_query_id,language,question,relevant_document_id,relevant_section_id,expected_key_points,answerable,expected_status,data_split,calibration_source,negative_type,boundary_category,boundary_reason,dataset_provenance
CAL-P-001,RAG-001,en,"According to the factory policy, what should be done for required hourly fields?",DOC-001,DOC-001-S01,"Record line, order, style, target, actual output, WIP, operator count, downtime, inspection quantity, and defects at the end of every production hour.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-002,RAG-002,bn,ফ্যাক্টরি নীতি অনুযায়ী Required hourly fields বিষয়ে কী করতে হবে?,DOC-001,DOC-001-S01,"Record line, order, style, target, actual output, WIP, operator count, downtime, inspection quantity, and defects at the end of every production hour.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-003,RAG-005,bn,ফ্যাক্টরি নীতি অনুযায়ী Data correction বিষয়ে কী করতে হবে?,DOC-001,DOC-001-S02,"Corrections require a reason, editor identity, timestamp, and preservation of the original value in the audit history.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-004,RAG-008,bn,ফ্যাক্টরি নীতি অনুযায়ী Immediate response বিষয়ে কী করতে হবে?,DOC-002,DOC-002-S01,"Stop the affected operation safely, isolate power where required, record the start time, and notify maintenance. Do not bypass machine guards.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-005,RAG-009,mixed,Factory policy অনুযায়ী Immediate response হলে কী action নিতে হবে?,DOC-002,DOC-002-S01,"Stop the affected operation safely, isolate power where required, record the start time, and notify maintenance. Do not bypass machine guards.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-006,RAG-010,en,"According to the factory policy, what should be done for escalation threshold?",DOC-002,DOC-002-S02,Escalate downtime above 30 minutes to the production manager and consider an approved operator or machine reassignment.,true,supported,calibration,validation_supported,,,,synthetic
CAL-P-007,RAG-014,bn,ফ্যাক্টরি নীতি অনুযায়ী Shortage classification বিষয়ে কী করতে হবে?,DOC-003,DOC-003-S01,Minor shortage means production can continue at reduced speed. Critical shortage means one or more planned operations are blocked.,true,supported,calibration,validation_supported,,,,synthetic
CAL-P-008,RAG-017,bn,ফ্যাক্টরি নীতি অনুযায়ী Approved actions বিষয়ে কী করতে হবে?,DOC-003,DOC-003-S02,"Confirm available quantity, expected arrival, affected operations, and alternative stock before requesting plan changes.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-009,RAG-018,mixed,Factory policy অনুযায়ী Approved actions হলে কী action নিতে হবে?,DOC-003,DOC-003-S02,"Confirm available quantity, expected arrival, affected operations, and alternative stock before requesting plan changes.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-010,RAG-022,en,"According to the factory policy, what should be done for corrective action?",DOC-004,DOC-004-S02,"Record the suspected cause, correction owner, due time, verification method, and observed result. A later improvement is an association unless a causal study was performed.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-011,RAG-025,en,"According to the factory policy, what should be done for changeover preparation?",DOC-005,DOC-005-S01,"Confirm operation bulletin, machine layout, attachments, skill requirements, first-piece approval, and target ramp-up before bulk production.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-012,RAG-029,bn,ফ্যাক্টরি নীতি অনুযায়ী Bottleneck review বিষয়ে কী করতে হবে?,DOC-005,DOC-005-S02,Use WIP and cycle-time evidence to identify the constrained operation. Rebalance only after manager or industrial-engineering approval.,true,supported,calibration,validation_supported,,,,synthetic
CAL-P-013,RAG-030,mixed,Factory policy অনুযায়ী Bottleneck review হলে কী action নিতে হবে?,DOC-005,DOC-005-S02,Use WIP and cycle-time evidence to identify the constrained operation. Rebalance only after manager or industrial-engineering approval.,true,supported,calibration,validation_supported,,,,synthetic
CAL-P-014,RAG-031,en,"According to the factory policy, what should be done for attendance signal?",DOC-006,DOC-006-S01,"Compare planned, present, and skilled-present operators. Do not use individual employee performance scoring in automated recommendations.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-015,RAG-033,mixed,Factory policy অনুযায়ী Attendance signal হলে কী action নিতে হবে?,DOC-006,DOC-006-S01,"Compare planned, present, and skilled-present operators. Do not use individual employee performance scoring in automated recommendations.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-016,RAG-035,bn,ফ্যাক্টরি নীতি অনুযায়ী Reallocation বিষয়ে কী করতে হবে?,DOC-006,DOC-006-S02,"Temporary reallocation requires supervisor confirmation, skill compatibility, and production-manager approval.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-017,RAG-036,mixed,Factory policy অনুযায়ী Reallocation হলে কী action নিতে হবে?,DOC-006,DOC-006-S02,"Temporary reallocation requires supervisor confirmation, skill compatibility, and production-manager approval.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-018,RAG-038,bn,ফ্যাক্টরি নীতি অনুযায়ী Human approval বিষয়ে কী করতে হবে?,DOC-007,DOC-007-S01,"Any action that creates, assigns, changes, or closes an operational task requires an authenticated human approval bound to the exact action and arguments.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-019,RAG-039,mixed,Factory policy অনুযায়ী Human approval হলে কী action নিতে হবে?,DOC-007,DOC-007-S01,"Any action that creates, assigns, changes, or closes an operational task requires an authenticated human approval bound to the exact action and arguments.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-020,RAG-042,mixed,Factory policy অনুযায়ী Idempotency হলে কী action নিতে হবে?,DOC-007,DOC-007-S02,Repeated requests with the same idempotency key must return the original result and must not create a duplicate action.,true,supported,calibration,validation_supported,,,,synthetic
