query_id,language,question,relevant_document_id,relevant_section_id,expected_key_points,answerable,expected_status,data_split,dataset_provenance
RAG-001,en,"According to the factory policy, what should be done for required hourly fields?",DOC-001,DOC-001-S01,"Record line, order, style, target, actual output, WIP, operator count, downtime, inspection quantity, and defects at the end of every production hour.",True,supported,validation,synthetic
RAG-002,bn,ফ্যাক্টরি নীতি অনুযায়ী Required hourly fields বিষয়ে কী করতে হবে?,DOC-001,DOC-001-S01,"Record line, order, style, target, actual output, WIP, operator count, downtime, inspection quantity, and defects at the end of every production hour.",True,supported,validation,synthetic
RAG-003,mixed,Factory policy অনুযায়ী Required hourly fields হলে কী action নিতে হবে?,DOC-001,DOC-001-S01,"Record line, order, style, target, actual output, WIP, operator count, downtime, inspection quantity, and defects at the end of every production hour.",True,supported,test,synthetic
RAG-004,en,"According to the factory policy, what should be done for data correction?",DOC-001,DOC-001-S02,"Corrections require a reason, editor identity, timestamp, and preservation of the original value in the audit history.",True,supported,test,synthetic
RAG-005,bn,ফ্যাক্টরি নীতি অনুযায়ী Data correction বিষয়ে কী করতে হবে?,DOC-001,DOC-001-S02,"Corrections require a reason, editor identity, timestamp, and preservation of the original value in the audit history.",True,supported,validation,synthetic
RAG-006,mixed,Factory policy অনুযায়ী Data correction হলে কী action নিতে হবে?,DOC-001,DOC-001-S02,"Corrections require a reason, editor identity, timestamp, and preservation of the original value in the audit history.",True,supported,test,synthetic
RAG-007,en,"According to the factory policy, what should be done for immediate response?",DOC-002,DOC-002-S01,"Stop the affected operation safely, isolate power where required, record the start time, and notify maintenance. Do not bypass machine guards.",True,supported,test,synthetic
RAG-008,bn,ফ্যাক্টরি নীতি অনুযায়ী Immediate response বিষয়ে কী করতে হবে?,DOC-002,DOC-002-S01,"Stop the affected operation safely, isolate power where required, record the start time, and notify maintenance. Do not bypass machine guards.",True,supported,validation,synthetic
RAG-009,mixed,Factory policy অনুযায়ী Immediate response হলে কী action নিতে হবে?,DOC-002,DOC-002-S01,"Stop the affected operation safely, isolate power where required, record the start time, and notify maintenance. Do not bypass machine guards.",True,supported,validation,synthetic
RAG-010,en,"According to the factory policy, what should be done for escalation threshold?",DOC-002,DOC-002-S02,Escalate downtime above 30 minutes to the production manager and consider an approved operator or machine reassignment.,True,supported,validation,synthetic
RAG-011,bn,ফ্যাক্টরি নীতি অনুযায়ী Escalation threshold বিষয়ে কী করতে হবে?,DOC-002,DOC-002-S02,Escalate downtime above 30 minutes to the production manager and consider an approved operator or machine reassignment.,True,supported,test,synthetic
RAG-012,mixed,Factory policy অনুযায়ী Escalation threshold হলে কী action নিতে হবে?,DOC-002,DOC-002-S02,Escalate downtime above 30 minutes to the production manager and consider an approved operator or machine reassignment.,True,supported,test,synthetic
RAG-013,en,"According to the factory policy, what should be done for shortage classification?",DOC-003,DOC-003-S01,Minor shortage means production can continue at reduced speed. Critical shortage means one or more planned operations are blocked.,True,supported,test,synthetic
RAG-014,bn,ফ্যাক্টরি নীতি অনুযায়ী Shortage classification বিষয়ে কী করতে হবে?,DOC-003,DOC-003-S01,Minor shortage means production can continue at reduced speed. Critical shortage means one or more planned operations are blocked.,True,supported,validation,synthetic
RAG-015,mixed,Factory policy অনুযায়ী Shortage classification হলে কী action নিতে হবে?,DOC-003,DOC-003-S01,Minor shortage means production can continue at reduced speed. Critical shortage means one or more planned operations are blocked.,True,supported,test,synthetic
