query_id,dataset_version,data_split,language,question,question_sha256,answerable,expected_status,relevant_document_id,relevant_section_id,expected_key_points,negative_type,boundary_document_id,boundary_category,boundary_reason,dataset_provenance,corpus_fingerprint
V2-DEV-S001,rag-answerability-v2-dataset-v1,development,bn,একটি উৎপাদন ঘণ্টা শেষ হলে রেকর্ডে কোন তথ্যগুলো ধরতে হবে?,71e5ddcc92b28dc7fe2bebb597338454af6246ea1e4f6519a0de5d246d289151,true,supported,DOC-001,DOC-001-S01,line; order; style; target; actual output; WIP; operator count; downtime; inspection quantity; defects,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-DEV-S002,rag-answerability-v2-dataset-v1,development,bn,ঘণ্টাভিত্তিক প্রোডাকশন এন্ট্রিতে উৎপাদন ও কোয়ালিটির কোন কোন ফিল্ড থাকতে হবে?,ea3a218e59e752edfa2126a041a1a1358315c47f823bfc4eb10f8dd49a9851b0,true,supported,DOC-001,DOC-001-S01,line; order; style; target; actual output; WIP; operator count; downtime; inspection quantity; defects,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-DEV-S003,rag-answerability-v2-dataset-v1,development,mixed,Hourly production entry close করার সময় কোন fields capture করতে হবে?,8dbf0e67defb833724160d55fdfdf66fa31797bcb3082ac0b135e5872da9bf87,true,supported,DOC-001,DOC-001-S01,line; order; style; target; actual output; WIP; operator count; downtime; inspection quantity; defects,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-DEV-S004,rag-answerability-v2-dataset-v1,development,mixed,"End-of-hour report-এ target, actual, WIP, downtime আর quality data কোনগুলো record করতে হবে?",7daf481aa7ef268e2a45442b52468e632284cf88d16035fa998de0017e3a0197,true,supported,DOC-001,DOC-001-S01,line; order; style; target; actual output; WIP; operator count; downtime; inspection quantity; defects,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-DEV-S005,rag-answerability-v2-dataset-v1,development,en,"If an hourly value is corrected later, what audit information must accompany that change?",ca930c7021737424b70c6d7695f0a43c5f1b95269e13d74f35a52bbbf069090a,true,supported,DOC-001,DOC-001-S02,correction reason; editor identity; timestamp; preserve original value in audit history,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-DEV-S006,rag-answerability-v2-dataset-v1,development,en,What has to be preserved when someone edits an incorrect production record?,d258bad36148a3963153e0ba510baa8257a5972032a1eaac95f1e859fa52f88e,true,supported,DOC-001,DOC-001-S02,correction reason; editor identity; timestamp; preserve original value in audit history,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-DEV-S007,rag-answerability-v2-dataset-v1,development,mixed,Hourly data correction করলে audit trail-এ কোন details রাখতে হবে?,694f5d031f3c2116ecf67042dc23a400859e8acd93b9067d404d116d94031829,true,supported,DOC-001,DOC-001-S02,correction reason; editor identity; timestamp; preserve original value in audit history,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-DEV-S008,rag-answerability-v2-dataset-v1,development,mixed,Incorrect production value edit করার সময় original value কীভাবে preserve করতে হবে?,533a02b6d09eb092da703b5371fa365c93b493f670bb531b7d1942fd408c7bbf,true,supported,DOC-001,DOC-001-S02,correction reason; editor identity; timestamp; preserve original value in audit history,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-DEV-S009,rag-answerability-v2-dataset-v1,development,en,What immediate steps are required when a machine-related operation becomes unsafe or stops?,0463839b720d09ecce82aa276916b386725efa58944e78b2cacf669292b617ec,true,supported,DOC-002,DOC-002-S01,stop affected operation safely; isolate power where required; record start time; notify maintenance; do not bypass machine guards,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-DEV-S010,rag-answerability-v2-dataset-v1,development,en,"Before maintenance begins on an affected operation, what safety and reporting actions are documented?",91f9e06b1118ab06e400074fe79fcf2add90e9e9208818f3d5d6150b093161f3,true,supported,DOC-002,DOC-002-S01,stop affected operation safely; isolate power where required; record start time; notify maintenance; do not bypass machine guards,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
