query_id,dataset_version,data_split,language,question,question_sha256,answerable,expected_status,relevant_document_id,relevant_section_id,expected_key_points,negative_type,boundary_document_id,boundary_category,boundary_reason,dataset_provenance,corpus_fingerprint
V2-AUD-S001,rag-answerability-v2-dataset-v1,audit,en,"When an hourly production window closes, what information has to be captured in the record?",bf119dfe8b1467c201297cf631ad156f9659bb0c65e7537c915e8762896c626a,true,supported,DOC-001,DOC-001-S01,line; order; style; target; actual output; WIP; operator count; downtime; inspection quantity; defects,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S002,rag-answerability-v2-dataset-v1,audit,en,Which operating and quality fields belong in the end-of-hour production entry?,eb8c7f77a7d4491731362b46b6045e2a2d09b215254d15c73f0056bb7f135349,true,supported,DOC-001,DOC-001-S01,line; order; style; target; actual output; WIP; operator count; downtime; inspection quantity; defects,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S003,rag-answerability-v2-dataset-v1,audit,bn,ঘণ্টাভিত্তিক ডেটা পরে সংশোধন করলে কোন কোন অডিট তথ্য রাখতে হবে?,103d5d51c1e661521e34dedf14f5e52626385dd6267284d1e59efe5377337b1b,true,supported,DOC-001,DOC-001-S02,correction reason; editor identity; timestamp; preserve original value in audit history,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S004,rag-answerability-v2-dataset-v1,audit,bn,ভুল প্রোডাকশন রেকর্ড ঠিক করার সময় মূল মানের সঙ্গে আর কী কী সংরক্ষণ করতে হবে?,511afc0d19361f05693f0e952db521c9d2ccb5b8a67462fc3439efcd9e4614ea,true,supported,DOC-001,DOC-001-S02,correction reason; editor identity; timestamp; preserve original value in audit history,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S005,rag-answerability-v2-dataset-v1,audit,mixed,Machine downtime শুরু হলে immediate safety steps আর reporting actions কী?,6da5b8f9330794995599129f233816ce3b5571da4b7dc0e909a9d56bd8e55492,true,supported,DOC-002,DOC-002-S01,stop affected operation safely; isolate power where required; record start time; notify maintenance; do not bypass machine guards,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S006,rag-answerability-v2-dataset-v1,audit,mixed,"Affected operation stop হলে power isolation, start time আর maintenance notification নিয়ে rule কী?",f75f944982b25481efa3d973bd305224138d8f9266aa0bdb803239777648ee7e,true,supported,DOC-002,DOC-002-S01,stop affected operation safely; isolate power where required; record start time; notify maintenance; do not bypass machine guards,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S007,rag-answerability-v2-dataset-v1,audit,en,When does documented machine downtime require escalation to the production manager?,4af74d71e4a66d6f80d7ede45c4d4b66baf8588410b7217dbcba5ebaf6f72fca,true,supported,DOC-002,DOC-002-S02,downtime above 30 minutes; notify production manager; consider approved operator or machine reassignment,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S008,rag-answerability-v2-dataset-v1,audit,en,What action may be considered after downtime crosses the documented escalation threshold?,e598e84a139dc53918bc8ba58472cc7b1550253cfc257b4295cd74e1b76f325f,true,supported,DOC-002,DOC-002-S02,downtime above 30 minutes; notify production manager; consider approved operator or machine reassignment,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S009,rag-answerability-v2-dataset-v1,audit,bn,মাইনর ও ক্রিটিক্যাল উপকরণ ঘাটতির মধ্যে নীতিগত পার্থক্য কী?,6f8a8007992df7843446283fa433ce75204e06683ecf86652790f53ea4ae2d10,true,supported,DOC-003,DOC-003-S01,minor shortage permits reduced-speed production; critical shortage blocks one or more planned operations,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S010,rag-answerability-v2-dataset-v1,audit,bn,এক বা একাধিক পরিকল্পিত অপারেশন বন্ধ হয়ে গেলে ঘাটতিটিকে কীভাবে শ্রেণিবদ্ধ করা হয়?,1b6c06a95c5387650352c0df620a3c0acb0ce1a9e0ed3e8a43ca0942c1f28e34,true,supported,DOC-003,DOC-003-S01,minor shortage permits reduced-speed production; critical shortage blocks one or more planned operations,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S011,rag-answerability-v2-dataset-v1,audit,mixed,Material shortage-এর জন্য plan change চাইলে আগে কোন facts confirm করতে হবে?,e9751ef1ebe680913ffe39706ab47137e1cf347d35e24ce94b23f2b0ee7b049b,true,supported,DOC-003,DOC-003-S02,confirm available quantity; expected arrival; affected operations; alternative stock before requesting plan changes,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S012,rag-answerability-v2-dataset-v1,audit,mixed,"Plan modification request-এর আগে available quantity, ETA, affected operations আর alternative stock কীভাবে check করতে হবে?",d11bd50671e905e8c80eae79b473ac9ed5f6478572344002443b9bf2cad0eb44,true,supported,DOC-003,DOC-003-S02,confirm available quantity; expected arrival; affected operations; alternative stock before requesting plan changes,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S013,rag-answerability-v2-dataset-v1,audit,en,What containment steps are required when a production defect is detected?,220d0447d1af8876765dd05709623f575ed1a4d25560c9be6dba2a922d1629f3,true,supported,DOC-004,DOC-004-S01,separate affected WIP; confirm defect type and extent; prevent unverified pieces from moving to next process,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S014,rag-answerability-v2-dataset-v1,audit,en,How should affected WIP and unverified pieces be handled during defect containment?,c6a7094c734cf881582bb89f8025b853d038ee4eb3ba153ba22d38ac7be4ffb0,true,supported,DOC-004,DOC-004-S01,separate affected WIP; confirm defect type and extent; prevent unverified pieces from moving to next process,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S015,rag-answerability-v2-dataset-v1,audit,bn,"একটি corrective action নথিভুক্ত করতে কারণ, দায়িত্ব, সময় ও যাচাই সম্পর্কে কী কী রাখতে হবে?",9342137027ea83e920b1b3feae0e8cc15740827beb63e7b6599873a9d40cc6cb,true,supported,DOC-004,DOC-004-S02,record suspected cause; correction owner; due time; verification method; observed result; later improvement is association without causal study,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S016,rag-answerability-v2-dataset-v1,audit,bn,কারণমূলক গবেষণা না থাকলে corrective action-এর পরের উন্নতিকে কীভাবে ব্যাখ্যা করতে হবে?,7ff9f38d3cebf1e6258a5af3bf87326661473822b62e35cccfcdc691ea66f3c0,true,supported,DOC-004,DOC-004-S02,record suspected cause; correction owner; due time; verification method; observed result; later improvement is association without causal study,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S017,rag-answerability-v2-dataset-v1,audit,mixed,Style changeover-এর পরে bulk production start করার আগে কোন preparation checks দরকার?,55f363df5e93a729a81d72c0e0fd38441af7df5434547ade8d1ac553743e3b08,true,supported,DOC-005,DOC-005-S01,confirm operation bulletin; machine layout; attachments; skill requirements; first-piece approval; target ramp-up before bulk production,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S018,rag-answerability-v2-dataset-v1,audit,mixed,"Operation bulletin, machine layout, attachments আর first-piece approval কখন confirm করতে হবে?",85a3a6921a3c85bc23502e5676d73951d3775b6e49c625fe8ee824edbca6425f,true,supported,DOC-005,DOC-005-S01,confirm operation bulletin; machine layout; attachments; skill requirements; first-piece approval; target ramp-up before bulk production,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S019,rag-answerability-v2-dataset-v1,audit,en,What evidence should be used to identify the bottleneck operation on a line?,94d03c88e27c9fe5c324824bbb3d0b9869a59af5552368020ea285ca785803cc,true,supported,DOC-005,DOC-005-S02,use WIP and cycle-time evidence to identify constrained operation; rebalance only after manager or industrial-engineering approval,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S020,rag-answerability-v2-dataset-v1,audit,en,Under what approval condition may a production line be rebalanced?,1cd4f40536897b92c9d4690bc3290c895a380553dfac687144635d6d7d698982,true,supported,DOC-005,DOC-005-S02,use WIP and cycle-time evidence to identify constrained operation; rebalance only after manager or industrial-engineering approval,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S021,rag-answerability-v2-dataset-v1,audit,bn,অপারেটর উপস্থিতি মূল্যায়নে কোন তিন ধরনের সংখ্যার তুলনা করতে হবে?,bebf9664e193acbca659e5c16d4c461657fa66d61d6cfb60cb83acabd6276d78,true,supported,DOC-006,DOC-006-S01,"compare planned, present, and skilled-present operator counts; do not use individual employee performance scoring in automated recommendations",,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S022,rag-answerability-v2-dataset-v1,audit,bn,স্বয়ংক্রিয় সুপারিশে ব্যক্তিগত কর্মদক্ষতার স্কোর ব্যবহারের বিষয়ে নীতি কী?,1fe28ae4fe4ca76ce484459d9861f44eb8db80e9f72379a078487871c2848dd3,true,supported,DOC-006,DOC-006-S01,"compare planned, present, and skilled-present operator counts; do not use individual employee performance scoring in automated recommendations",,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S023,rag-answerability-v2-dataset-v1,audit,mixed,Temporary operator reallocation-এর আগে supervisor confirmation আর skill compatibility requirement কী?,94dcba0b6ee4735147431ebd9df349e3fdac79c33c7d674743cc1412d26a3b5f,true,supported,DOC-006,DOC-006-S02,temporary reallocation requires supervisor confirmation; skill compatibility; production-manager approval,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S024,rag-answerability-v2-dataset-v1,audit,mixed,Operator reallocate করতে production-manager approval কখন দরকার?,8865a05bf6526c16ef89104857db4fb19e727a35e04eb316a1598a896e37e206,true,supported,DOC-006,DOC-006-S02,temporary reallocation requires supervisor confirmation; skill compatibility; production-manager approval,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S025,rag-answerability-v2-dataset-v1,audit,en,Which operational task changes require authenticated human approval?,466ee9cae798ed5484ed3f1298ec59113e5d4f7f95110d0d34259f9dc8ba9cad,true,supported,DOC-007,DOC-007-S01,"task create, assign, change, or close requires authenticated human approval; approval bound to exact action and arguments",,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S026,rag-answerability-v2-dataset-v1,audit,en,What must a human approval be bound to before an operational action can execute?,56c5ebcfd2d7caf0f236d4f8b7d4d73a8a85d25fe5c009424590ff29ffa55b85,true,supported,DOC-007,DOC-007-S01,"task create, assign, change, or close requires authenticated human approval; approval bound to exact action and arguments",,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S027,rag-answerability-v2-dataset-v1,audit,bn,একই idempotency key আবার পাঠালে সিস্টেম কী করবে?,68e9522ddb7d0872bfb7f26e8f6062bf09786b6892881f4090d25dff37ad1042,true,supported,DOC-007,DOC-007-S02,same idempotency key returns original result; repeated request must not create duplicate action,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S028,rag-answerability-v2-dataset-v1,audit,bn,পুনরাবৃত্ত অনুরোধে ডুপ্লিকেট অ্যাকশন তৈরি হওয়া কীভাবে ঠেকাতে হবে?,198a1105401e8aff681e45f8f05b896636bc3a48a17716b412901d559d63233d,true,supported,DOC-007,DOC-007-S02,same idempotency key returns original result; repeated request must not create duplicate action,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S029,rag-answerability-v2-dataset-v1,audit,mixed,"Measured data, model prediction, retrieved evidence আর AI suggestion কেন আলাদা রাখতে হবে?",542de9800fec617e679b7fe7a0e28286dfe122de5fc3bbfde50457fd891c59b1,true,supported,DOC-008,DOC-008-S01,distinguish measured data; model predictions; retrieved evidence; AI suggestions; human decisions; observed outcomes,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S030,rag-answerability-v2-dataset-v1,audit,mixed,Human decision আর observed outcome-কে system output-এর অন্য categories থেকে কীভাবে distinguish করতে হবে?,369dbcd8583afd98e18ee6ad6292896c23215082a2ef6172f19ef5bfb9d560d6,true,supported,DOC-008,DOC-008-S01,distinguish measured data; model predictions; retrieved evidence; AI suggestions; human decisions; observed outcomes,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S031,rag-answerability-v2-dataset-v1,audit,mixed,Uploaded document-এর instruction কি trusted system instruction হিসেবে follow করা যাবে?,067178f8820a11b5a7bec21b9415ac8ae1ccc64d80e279b417a593b8a006c0f2,true,supported,DOC-008,DOC-008-S02,uploaded document or note instructions are untrusted content; cannot override system policy or authorize a tool call,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-S032,rag-answerability-v2-dataset-v1,audit,mixed,Retrieved text দিয়ে system policy override বা tool call authorize করা যাবে কি?,b0e63f18adbf79e660be1e071afd565f0eb930306368648badbde653068fd4fb,true,supported,DOC-008,DOC-008-S02,uploaded document or note instructions are untrusted content; cannot override system policy or authorize a tool call,,,,,synthetic_fresh_v2_authored_from_frozen_corpus,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N001,rag-answerability-v2-dataset-v1,audit,en,What exact database table stores corrected hourly production values?,ece55b7f1e01537da8aab5a44d47343f0ec61ebfaa505885a63feb79ba6856b3,false,insufficient_evidence,,,,out_of_scope_implementation,DOC-001,database_schema,The knowledge corpus does not document database table names.,synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N002,rag-answerability-v2-dataset-v1,audit,bn,প্রতি ঘণ্টার রিপোর্ট দেরিতে জমা দিলে কত টাকা জরিমানা হয়?,8cc15a72d6c6f863a3f629612854783854af834d35bbb2c9e8cfdeac95dab521,false,insufficient_evidence,,,,out_of_scope_policy,DOC-001,financial_penalty,No financial penalty for late hourly reporting is documented.,synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N003,rag-answerability-v2-dataset-v1,audit,en,What is the maintenance technician's emergency phone number for a stopped line?,0739c0aa3202fe3814d076dbb67072391649d28995a70e5dd71ee3c3800432a8,false,insufficient_evidence,,,,external_live_state,DOC-002,contact_detail,No individual technician contact number exists in the knowledge corpus.,synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N004,rag-answerability-v2-dataset-v1,audit,mixed,Repair complete হওয়ার পর machine bolt-এর exact torque setting কত?,ec446222591626c254c7ad96c7cdb500c3dd0314296a0e0050b912cf4b8ebec0,false,insufficient_evidence,,,,unsupported_specificity,DOC-002,machine_parameter,No machine-specific torque specification is documented.,synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N005,rag-answerability-v2-dataset-v1,audit,bn,বর্তমান সরবরাহকারীর চুক্তিভিত্তিক delivery lead time ঠিক কত দিন?,409b27c23d912fde099497e65dc099878a0029dc7b2f2c1195cd0e2652dd010f,false,insufficient_evidence,,,,external_live_state,DOC-003,supplier_lead_time,Current supplier contract lead times are not documented.,synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N006,rag-answerability-v2-dataset-v1,audit,mixed,Alternative fabric use করলে maximum কত percent substitution allowed?,8f595828fa07ef728bebb14be14a75d84a400e82eb0630d292b148c771b9b559,false,insufficient_evidence,,,,unsupported_specificity,DOC-003,substitution_limit,The SOP says to confirm alternative stock but gives no substitution percentage.,synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N007,rag-answerability-v2-dataset-v1,audit,en,What is the proven root cause of seam defects on today's production line?,25b402bea94c2d830456ad976f0f2c93f167c758fb982c1bab40780e31aa8043,false,insufficient_evidence,,,,external_live_state,DOC-004,current_root_cause,"The corpus contains process guidance, not a proven live-factory root cause.",synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N008,rag-answerability-v2-dataset-v1,audit,bn,একটি defective piece পাওয়া গেলে অপারেটরের কত টাকা জরিমানা হবে?,68188eced23bb3881394ddf6c37eb67dc18cb0665c9c486f3a08e51cea55b1d2,false,insufficient_evidence,,,,out_of_scope_policy,DOC-004,employee_penalty,No monetary employee penalty for defects is documented.,synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N009,rag-answerability-v2-dataset-v1,audit,en,What exact machine layout is required for style ST-204?,75ed6354124aec4ce88b645bc9de44a2d0a6d3f8010151689930cb2e6f571389,false,insufficient_evidence,,,,external_live_state,DOC-005,style_layout,The guide requires layout confirmation but contains no style-specific layout.,synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N010,rag-answerability-v2-dataset-v1,audit,bn,নতুন স্টাইলের target ramp-up ঠিক কত মিনিটের মধ্যে শেষ করতে হবে?,66aa48a5aa6d0174765623ee57bd507ae169b35efcc40025ad00b98e83a45a2f,false,insufficient_evidence,,,,unsupported_specificity,DOC-005,ramp_up_duration,No fixed ramp-up duration is documented.,synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N011,rag-answerability-v2-dataset-v1,audit,en,What is operator Rahim's current numerical skill score for sewing?,249b11622e78d9a17dda6433a4564888f1a91116c61b557617a3bd25d76fac1b,false,insufficient_evidence,,,,external_live_state,DOC-006,individual_skill_score,No named employee or individual numerical skill score exists in the corpus.,synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
V2-AUD-N012,rag-answerability-v2-dataset-v1,audit,mixed,Attendance capture করার জন্য কোন exact biometric device model mandatory?,6cd5b667b7209fd501320a83ed48fafdf4bf217686714e0a48c6851cff914cb0,false,insufficient_evidence,,,,out_of_scope_policy,DOC-006,attendance_device,No biometric device model is mandated.,synthetic_fresh_v2_boundary_negative,59f725c9b3b67abce85fb38b4860c1dbe7c5d9f5f4094a8b5ae60e26f31fa1a4
