action_id,factory_id,line_id,order_id,note_id,work_date,root_cause,action_type,owner_role,approval_decision,approval_required,created_at,approved_at,status,due_at,idempotency_key,data_split,dataset_provenance
ACT-000001,FAC-001,LINE-01,ORD-01-001,NOTE-000001,2025-01-04,planning,plan_review,planning,approved,True,2025-01-04T13:10:00+00:00,2025-01-04T13:35:00+00:00,completed,2025-01-04T17:00:00+00:00,LINE-01:2025-01-04:plan_review,train,synthetic
ACT-000002,FAC-001,LINE-01,ORD-01-001,NOTE-000002,2025-01-05,machine,machine_inspection,maintenance,rejected,True,2025-01-05T13:10:00+00:00,,not_executed,2025-01-05T17:00:00+00:00,LINE-01:2025-01-05:machine_inspection,train,synthetic
ACT-000003,FAC-001,LINE-01,ORD-01-002,NOTE-000006,2025-01-09,method,line_rebalancing,industrial_engineering,approved,True,2025-01-09T13:10:00+00:00,2025-01-09T13:35:00+00:00,completed,2025-01-09T17:00:00+00:00,LINE-01:2025-01-09:line_rebalancing,train,synthetic
ACT-000004,FAC-001,LINE-01,ORD-01-002,NOTE-000007,2025-01-11,quality,quality_containment,quality,edited,True,2025-01-11T13:10:00+00:00,2025-01-11T13:35:00+00:00,completed,2025-01-11T17:00:00+00:00,LINE-01:2025-01-11:quality_containment,train,synthetic
ACT-000005,FAC-001,LINE-01,ORD-01-002,NOTE-000008,2025-01-12,manpower,operator_reallocation,production,approved,True,2025-01-12T13:10:00+00:00,2025-01-12T13:35:00+00:00,completed,2025-01-12T17:00:00+00:00,LINE-01:2025-01-12:operator_reallocation,train,synthetic
ACT-000006,FAC-001,LINE-01,ORD-01-002,NOTE-000009,2025-01-13,quality,quality_containment,quality,rejected,True,2025-01-13T13:10:00+00:00,,not_executed,2025-01-13T17:00:00+00:00,LINE-01:2025-01-13:quality_containment,train,synthetic
ACT-000007,FAC-001,LINE-01,ORD-01-003,NOTE-000011,2025-01-15,material,material_escalation,store_and_planning,approved,True,2025-01-15T13:10:00+00:00,2025-01-15T13:35:00+00:00,completed,2025-01-15T17:00:00+00:00,LINE-01:2025-01-15:material_escalation,train,synthetic
ACT-000008,FAC-001,LINE-01,ORD-01-003,NOTE-000017,2025-01-22,quality,quality_containment,quality,approved,True,2025-01-22T13:10:00+00:00,2025-01-22T13:35:00+00:00,completed,2025-01-22T17:00:00+00:00,LINE-01:2025-01-22:quality_containment,train,synthetic
ACT-000009,FAC-001,LINE-01,ORD-01-004,NOTE-000021,2025-01-27,planning,plan_review,planning,approved,True,2025-01-27T13:10:00+00:00,2025-01-27T13:35:00+00:00,in_progress,2025-01-27T17:00:00+00:00,LINE-01:2025-01-27:plan_review,train,synthetic
ACT-000010,FAC-001,LINE-01,ORD-01-004,NOTE-000025,2025-02-01,manpower,operator_reallocation,production,approved,True,2025-02-01T13:10:00+00:00,2025-02-01T13:35:00+00:00,completed,2025-02-01T17:00:00+00:00,LINE-01:2025-02-01:operator_reallocation,train,synthetic
ACT-000011,FAC-001,LINE-01,ORD-01-004,NOTE-000026,2025-02-02,manpower,operator_reallocation,production,approved,True,2025-02-02T13:10:00+00:00,2025-02-02T13:35:00+00:00,completed,2025-02-02T17:00:00+00:00,LINE-01:2025-02-02:operator_reallocation,train,synthetic
ACT-000012,FAC-001,LINE-01,ORD-01-004,NOTE-000027,2025-02-03,manpower,operator_reallocation,production,approved,True,2025-02-03T13:10:00+00:00,2025-02-03T13:35:00+00:00,completed,2025-02-03T17:00:00+00:00,LINE-01:2025-02-03:operator_reallocation,train,synthetic
ACT-000013,FAC-001,LINE-01,ORD-01-005,NOTE-000032,2025-02-09,quality,quality_containment,quality,edited,True,2025-02-09T13:10:00+00:00,2025-02-09T13:35:00+00:00,completed,2025-02-09T17:00:00+00:00,LINE-01:2025-02-09:quality_containment,train,synthetic
ACT-000014,FAC-001,LINE-01,ORD-01-005,NOTE-000036,2025-02-13,quality,quality_containment,quality,approved,True,2025-02-13T13:10:00+00:00,2025-02-13T13:35:00+00:00,completed,2025-02-13T17:00:00+00:00,LINE-01:2025-02-13:quality_containment,train,synthetic
ACT-000015,FAC-001,LINE-01,ORD-01-005,NOTE-000038,2025-02-16,manpower,operator_reallocation,production,edited,True,2025-02-16T13:10:00+00:00,2025-02-16T13:35:00+00:00,completed,2025-02-16T17:00:00+00:00,LINE-01:2025-02-16:operator_reallocation,train,synthetic
ACT-000016,FAC-001,LINE-01,ORD-01-005,NOTE-000040,2025-02-18,manpower,operator_reallocation,production,approved,True,2025-02-18T13:10:00+00:00,2025-02-18T13:35:00+00:00,completed,2025-02-18T17:00:00+00:00,LINE-01:2025-02-18:operator_reallocation,train,synthetic
ACT-000017,FAC-001,LINE-01,ORD-01-006,NOTE-000043,2025-02-22,planning,plan_review,planning,approved,True,2025-02-22T13:10:00+00:00,2025-02-22T13:35:00+00:00,completed,2025-02-22T17:00:00+00:00,LINE-01:2025-02-22:plan_review,train,synthetic
ACT-000018,FAC-001,LINE-01,ORD-01-006,NOTE-000048,2025-02-27,machine,machine_inspection,maintenance,approved,True,2025-02-27T13:10:00+00:00,2025-02-27T13:35:00+00:00,completed,2025-02-27T17:00:00+00:00,LINE-01:2025-02-27:machine_inspection,train,synthetic
