document_id,section_id,section_title,english_text,bangla_text,dataset_provenance
DOC-001,DOC-001-S01,Required hourly fields,"Record line, order, style, target, actual output, WIP, operator count, downtime, inspection quantity, and defects at the end of every production hour.","প্রতি উৎপাদন ঘণ্টা শেষে লাইন, অর্ডার, স্টাইল, টার্গেট, প্রকৃত আউটপুট, WIP, অপারেটর সংখ্যা, ডাউনটাইম, পরিদর্শিত পরিমাণ এবং ত্রুটি নথিভুক্ত করতে হবে।",synthetic
DOC-001,DOC-001-S02,Data correction,"Corrections require a reason, editor identity, timestamp, and preservation of the original value in the audit history.","ডেটা সংশোধনের জন্য কারণ, সংশোধনকারীর পরিচয়, সময় এবং অডিট ইতিহাসে মূল মান সংরক্ষণ করতে হবে।",synthetic
DOC-002,DOC-002-S01,Immediate response,"Stop the affected operation safely, isolate power where required, record the start time, and notify maintenance. Do not bypass machine guards.","প্রভাবিত অপারেশন নিরাপদভাবে বন্ধ করতে হবে, প্রয়োজন হলে বিদ্যুৎ বিচ্ছিন্ন করতে হবে, শুরুর সময় লিখতে হবে এবং মেইনটেন্যান্সকে জানাতে হবে। মেশিন গার্ড পাশ কাটানো যাবে না।",synthetic
DOC-002,DOC-002-S02,Escalation threshold,Escalate downtime above 30 minutes to the production manager and consider an approved operator or machine reassignment.,ডাউনটাইম ৩০ মিনিটের বেশি হলে প্রোডাকশন ম্যানেজারকে জানাতে হবে এবং অনুমোদিত অপারেটর বা মেশিন পুনর্বিন্যাস বিবেচনা করতে হবে।,synthetic
DOC-003,DOC-003-S01,Shortage classification,Minor shortage means production can continue at reduced speed. Critical shortage means one or more planned operations are blocked.,মাইনর ঘাটতিতে কম গতিতে উৎপাদন চলতে পারে। ক্রিটিক্যাল ঘাটতিতে এক বা একাধিক পরিকল্পিত অপারেশন বন্ধ থাকে।,synthetic
DOC-003,DOC-003-S02,Approved actions,"Confirm available quantity, expected arrival, affected operations, and alternative stock before requesting plan changes.","পরিকল্পনা পরিবর্তনের অনুরোধের আগে উপলভ্য পরিমাণ, সম্ভাব্য আগমনের সময়, প্রভাবিত অপারেশন এবং বিকল্প স্টক নিশ্চিত করতে হবে।",synthetic
DOC-004,DOC-004-S01,Containment,"Separate affected WIP, confirm the defect type and extent, and prevent unverified pieces from moving to the next process.","প্রভাবিত WIP আলাদা করতে হবে, ত্রুটির ধরন ও পরিমাণ নিশ্চিত করতে হবে এবং যাচাই ছাড়া পিস পরবর্তী প্রক্রিয়ায় পাঠানো যাবে না।",synthetic
DOC-004,DOC-004-S02,Corrective action,"Record the suspected cause, correction owner, due time, verification method, and observed result. A later improvement is an association unless a causal study was performed.","সম্ভাব্য কারণ, সংশোধনের দায়িত্বপ্রাপ্ত ব্যক্তি, সময়সীমা, যাচাই পদ্ধতি এবং পর্যবেক্ষিত ফল নথিভুক্ত করতে হবে। যথাযথ কারণমূলক গবেষণা ছাড়া পরবর্তী উন্নতিকে কারণ হিসেবে দাবি করা যাবে না।",synthetic
DOC-005,DOC-005-S01,Changeover preparation,"Confirm operation bulletin, machine layout, attachments, skill requirements, first-piece approval, and target ramp-up before bulk production.","বাল্ক উৎপাদনের আগে অপারেশন বুলেটিন, মেশিন লেআউট, অ্যাটাচমেন্ট, দক্ষতার প্রয়োজন, প্রথম পিস অনুমোদন এবং টার্গেট র‍্যাম্প-আপ নিশ্চিত করতে হবে।",synthetic
DOC-005,DOC-005-S02,Bottleneck review,Use WIP and cycle-time evidence to identify the constrained operation. Rebalance only after manager or industrial-engineering approval.,বটলনেক অপারেশন শনাক্ত করতে WIP এবং সাইকেল টাইমের প্রমাণ ব্যবহার করতে হবে। ম্যানেজার বা ইন্ডাস্ট্রিয়াল ইঞ্জিনিয়ারিং অনুমোদনের পরেই রিব্যালেন্স করতে হবে।,synthetic
DOC-006,DOC-006-S01,Attendance signal,"Compare planned, present, and skilled-present operators. Do not use individual employee performance scoring in automated recommendations.","পরিকল্পিত, উপস্থিত এবং দক্ষ উপস্থিত অপারেটরের সংখ্যা তুলনা করতে হবে। স্বয়ংক্রিয় সুপারিশে ব্যক্তিগত কর্মদক্ষতার স্কোর ব্যবহার করা যাবে না।",synthetic
DOC-006,DOC-006-S02,Reallocation,"Temporary reallocation requires supervisor confirmation, skill compatibility, and production-manager approval.","অস্থায়ী পুনর্বিন্যাসের জন্য সুপারভাইজারের নিশ্চিতকরণ, দক্ষতার সামঞ্জস্য এবং প্রোডাকশন ম্যানেজারের অনুমোদন প্রয়োজন।",synthetic
DOC-007,DOC-007-S01,Human approval,"Any action that creates, assigns, changes, or closes an operational task requires an authenticated human approval bound to the exact action and arguments.","অপারেশনাল টাস্ক তৈরি, বরাদ্দ, পরিবর্তন বা বন্ধ করার জন্য সঠিক অ্যাকশন ও আর্গুমেন্টের সঙ্গে যুক্ত প্রমাণীকৃত মানব অনুমোদন প্রয়োজন।",synthetic
DOC-007,DOC-007-S02,Idempotency,Repeated requests with the same idempotency key must return the original result and must not create a duplicate action.,একই আইডেমপোটেন্সি কী-সহ পুনরাবৃত্ত অনুরোধে মূল ফল ফেরত দিতে হবে এবং ডুপ্লিকেট অ্যাকশন তৈরি করা যাবে না।,synthetic
